playerID	nameFirst	nameLast	debut	finalGame		
hornujo01	Joe	Hornung	1879-05-01	1890-10-03		
hotalpe01	Pete	Hotaling	1879-05-01	1888-09-15		
houcksa01	Sadie	Houck	1879-05-01	1887-09-23		
kellyki02	Kick	Kelly	1879-05-01	1879-08-07		
kennedo01	Doc	Kennedy	1879-05-01	1883-07-06		
mansemi01	Mike	Mansell	1879-05-01	1884-10-15		
manseto01	Tom	Mansell	1879-05-01	1884-10-15		
mccorha01	Harry	McCormick	1879-05-01	1883-09-20		
orourjo01	John	O'Rourke	1879-05-01	1883-09-10		
phillbi01	Bill	Phillips	1879-05-01	1888-10-14		
purcebl01	Blondie	Purcell	1879-05-01	1890-09-16		
reillch01	Charlie	Reilley	1879-05-01	1884-04-26		
richaha01	Hardy	Richardson	1879-05-01	1892-09-10		
striege01	George	Strief	1879-05-01	1885-09-08		
mcgunbi01	Bill	McGunnigle	1879-05-02	1882-08-17		
shoupjo01	John	Shoup	1879-05-03	1884-05-28		
maculji01	Jimmy	Macullar	1879-05-05	1886-10-14		
hoffmhi01	Sonny	Hoffman	1879-05-10	1879-07-19		
libbyst01	Steve	Libby	1879-05-10	1879-05-10		
foleycu01	Curry	Foley	1879-05-13	1883-09-05		
gunklfr01	Fred	Gunkle	1879-05-17	1879-05-17		
stockle01	Len	Stockwell	1879-05-17	1890-05-19		
mcmanpa01	Pat	McManus	1879-05-22	1879-08-13		
kellyjo01	John	Kelly	1879-06-07	1884-10-19		
adamsge01	George	Adams	1879-06-14	1879-06-21		
whitebi01	Bill	White	1879-06-21	1879-06-21		
broutda01	Dan	Brouthers	1879-06-23	10/4/1904		
osterch01	Charlie	Osterhout	1879-06-23	1879-09-06		
deckefr01	Frank	Decker	1879-06-25	1882-08-24		
neaglja01	Jack	Neagle	1879-07-08	1884-10-04		
cogswed01	Ed	Cogswell	1879-07-11	1882-05-30		
magnejo01	John	Magner	1879-07-14	1879-07-14		
kemmlru01	Rudy	Kemmler	1879-07-26	1889-08-11		
grossem01	Emil	Gross	1879-08-13	1884-07-14		
gardngi01	Gid	Gardner	1879-08-23	1888-05-29		
sullide01	Denny	Sullivan	1879-08-25	1880-09-25		
salisha01	Harry	Salisbury	1879-08-28	1882-09-22		
olearda01	Dan	O'Leary	1879-09-03	1884-08-06		
roweja01	Jack	Rowe	1879-09-06	1890-10-04		
tyngji01	Jim	Tyng	1879-09-23	1888-06-13		
stedrjo01	John	Stedronsky	1879-09-26	1879-09-30		
richmle01	Lee	Richmond	1879-09-27	1886-10-04		
dolanto01	Tom	Dolan	1879-09-30	1888-10-14		
burnsto01	Tom	Burns	1880-05-01	1892-07-22		
connoro01	Roger	Connor	1880-05-01	1897-05-18		
corcola01	Larry	Corcoran	1880-05-01	1887-05-20		
cranesa01	Sam	Crane	1880-05-01	1890-06-28		
dunlafr01	Fred	Dunlap	1880-05-01	1891-04-20		
esterdu01	Dude	Esterbrook	1880-05-01	1891-07-22		
gillepe01	Patrick	Gillespie	1880-05-01	1887-10-06		
hanlone01	Ned	Hanlon	1880-05-01	1892-09-15		
irwinar01	Arthur	Irwin	1880-05-01	1894-06-22		
smithpo01	Pop	Smith	1880-05-01	1891-06-09		
stoveha01	Harry	Stovey	1880-05-01	1893-07-29		
welchmi01	Mickey	Welch	1880-05-01	1892-05-17		
whitnar01	Art	Whitney	1880-05-01	1891-08-22		
woodge01	George	Wood	1880-05-01	1892-09-29		
poormto01	Tom	Poorman	1880-05-05	1888-09-18		
radboch01	Old Hoss	Radbourn	1880-05-05	1891-08-11		
reilljo01	John	Reilly	1880-05-18	1891-10-03		
lawlomi01	Mike	Lawlor	1880-05-27	1884-07-23		
trottsa01	Sam	Trott	1880-05-29	1888-07-28		
dignast01	Steve	Dignan	1880-06-01	1880-08-07		
briodfa01	Fatty	Briody	1880-06-16	1888-07-24		
ahearch01	Bill	Ahearn	1880-06-19	1880-06-19		
haleyfr01	James	Haley	1880-06-22	1880-07-23		
straujo01	Joe	Straub	1880-06-24	1883-09-22		
driscde01	Denny	Driscoll	1880-07-01	1884-06-28		
